possession_id,timestamp,team,player_id,action,zone,pressure,team_status,outcome,xg_change
M7463-P002,2025-06-15T20:19:37.145896Z,Home,9,BallRecovery,C5,0,Tied,Success,0.01
M7463-P002,2025-06-15T20:19:37.145911Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P002,2025-06-15T20:19:37.145982Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M7463-P003,2025-06-15T20:19:37.145997Z,Away,6,BallRecovery,B5,0,Tied,Success,0.01
M7463-P003,2025-06-15T20:19:37.145999Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P003,2025-06-15T20:19:37.146002Z,Home,9,Shot,C5,1,Tied,Failure,-0.04
M7463-P003,2025-06-15T20:19:37.146005Z,Home,5,SupportRequest,A5,0,Tied,Success,0.0
M7463-P003,2025-06-15T20:19:37.146019Z,Away,7,SupportRequest,C1,0,Tied,Success,0.0
M7463-P003,2025-06-15T20:19:37.146022Z,Home,6,SupportRequest,C3,0,Tied,Success,0.0
M7463-P003,2025-06-15T20:19:37.146045Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M7463-P004,2025-06-15T20:19:37.146060Z,Home,6,BallRecovery,C3,0,Tied,Success,0.01
M7463-P004,2025-06-15T20:19:37.146062Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P004,2025-06-15T20:19:37.146065Z,Away,6,Shot,B5,1,Tied,Failure,-0.04
M7463-P004,2025-06-15T20:19:37.146088Z,Away,1,SupportRequest,D3,0,Tied,Success,0.0
M7463-P004,2025-06-15T20:19:37.146125Z,Home,6,Pass,C3,1,Tied,Success,0.02
M7463-P004,2025-06-15T20:19:37.146139Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M7463-P005,2025-06-15T20:19:37.146149Z,Away,8,BallRecovery,C3,0,Tied,Success,0.01
M7463-P005,2025-06-15T20:19:37.146151Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P005,2025-06-15T20:19:37.146153Z,Home,10,Shot,C2,1,Tied,Failure,-0.06
M7463-P005,2025-06-15T20:19:37.146155Z,Home,11,SupportRequest,B5,0,Tied,Success,0.0
M7463-P005,2025-06-15T20:19:37.146164Z,Away,10,SupportRequest,B4,0,Tied,Success,0.0
M7463-P005,2025-06-15T20:19:37.146174Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M7463-P006,2025-06-15T20:19:37.146188Z,Home,8,BallRecovery,B3,0,Tied,Success,0.01
M7463-P006,2025-06-15T20:19:37.146190Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P006,2025-06-15T20:19:37.146192Z,Away,8,Pass,C3,1,Tied,Failure,-0.05
M7463-P006,2025-06-15T20:19:37.146248Z,Home,8,Pass,B3,1,Tied,Success,0.02
M7463-P006,2025-06-15T20:19:37.146289Z,Home,1,Pass,B1,1,Tied,Success,0.02
M7463-P006,2025-06-15T20:19:37.146299Z,Away,4,SupportRequest,C4,0,Tied,Success,0.0
M7463-P006,2025-06-15T20:19:37.146317Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M7463-P007,2025-06-15T20:19:37.146325Z,Away,7,BallRecovery,C1,0,Tied,Success,0.01
M7463-P007,2025-06-15T20:19:37.146326Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P007,2025-06-15T20:19:37.146328Z,Home,6,Pass,B3,1,Tied,Failure,-0.05
M7463-P007,2025-06-15T20:19:37.146378Z,Away,7,Pass,C1,1,Tied,Success,0.02
M7463-P007,2025-06-15T20:19:37.146386Z,Home,9,SupportRequest,C5,0,Tied,Success,0.0
M7463-P007,2025-06-15T20:19:37.146401Z,Away,6,SupportRequest,B5,0,Tied,Success,0.0
M7463-P007,2025-06-15T20:19:37.146420Z,Home,10,SupportRequest,C2,0,Tied,Success,0.0
M7463-P007,2025-06-15T20:19:37.146437Z,Away,0,PossessionEnd,C3,0,Tied,Success,0.0
M7463-P008,2025-06-15T20:19:37.146445Z,Home,9,BallRecovery,B5,0,Tied,Success,0.01
M7463-P008,2025-06-15T20:19:37.146447Z,Home,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P008,2025-06-15T20:19:37.146448Z,Away,2,Clearance,D1,1,Tied,Success,0.0
M7463-P008,2025-06-15T20:19:37.146506Z,Home,0,PossessionEnd,C3,0,Tied,Success,0.0
M7463-P009,2025-06-15T20:19:37.146514Z,Away,7,BallRecovery,C1,0,Tied,Success,0.01
M7463-P009,2025-06-15T20:19:37.146515Z,Away,0,PossessionStart,C3,0,Tied,Success,0.0
M7463-P009,2025-06-15T20:19:37.146517Z,Home,9,Pass,B5,1,Tied,Failure,-0.05
M7463-P009,2025-06-15T20:19:37.146525Z,Away,10,SupportRequest,A3,0,Tied,Success,0.0
M7463-P009,2025-06-15T20:19:37.146549Z,Away,7,Pass,C1,1,Tied,Success,0.02
